Thread_No,Thread_Name,R,G,B
26SS_01,26SS_COLOR_01,229,227,217
26SS_02,26SS_COLOR_02,222,211,187
26SS_03,26SS_COLOR_03,183,157,113
26SS_04,26SS_COLOR_04,151,117,90
26SS_05,26SS_COLOR_05,149,157,128
26SS_06,26SS_COLOR_06,99,82,63
26SS_07,26SS_COLOR_07,238,246,182
26SS_08,26SS_COLOR_08,236,152,121
26SS_09,26SS_COLOR_09,185,52,66
26SS_10,26SS_COLOR_10,152,43,53
26SS_11,26SS_COLOR_11,244,198,227
26SS_12,26SS_COLOR_12,205,47,94
26SS_13,26SS_COLOR_13,195,164,221
26SS_14,26SS_COLOR_14,73,44,96
26SS_15,26SS_COLOR_15,121,156,132
26SS_16,26SS_COLOR_16,50,135,101
26SS_17,26SS_COLOR_17,23,69,56
26SS_18,26SS_COLOR_18,155,192,204
26SS_19,26SS_COLOR_19,126,146,170
26SS_20,26SS_COLOR_20,135,166,196
26SS_21,26SS_COLOR_21,80,129,208
26SS_22,26SS_COLOR_22,31,32,79
26SS_23,26SS_COLOR_23,185,186,188
26SS_24,26SS_COLOR_24,143,140,137
26SS_25,26SS_COLOR_25,65,69,70
26SS_26,26SS_COLOR_26,28,21,22
